               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 142,            0.022603,            0.012138,                   0,             0.93407,             0.96873,               0.983,              0.7796,            0.024556,           0.0084705,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,             0.02298,            0.012463,                   0,             0.95735,             0.95931,             0.98255,             0.77447,            0.025079,           0.0086158,                   0,            0.002971,            0.002971,            0.002971
                 144,            0.022813,            0.011988,                   0,              0.9504,             0.95726,             0.98023,              0.7755,            0.025335,           0.0088472,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,            0.022298,            0.011705,                   0,             0.98714,             0.94017,             0.98062,             0.78336,            0.024148,           0.0087296,                   0,            0.002872,            0.002872,            0.002872
                 146,            0.022191,             0.01203,                   0,             0.95779,              0.9698,              0.9822,             0.79157,            0.023982,           0.0085506,                   0,           0.0028225,           0.0028225,           0.0028225
                 147,            0.022058,            0.011802,                   0,             0.98254,             0.96195,             0.98621,             0.78417,            0.023853,           0.0087382,                   0,            0.002773,            0.002773,            0.002773
                 148,            0.022437,             0.01238,                   0,             0.98268,             0.95726,             0.98792,             0.78198,            0.023632,           0.0085669,                   0,           0.0027235,           0.0027235,           0.0027235
                 149,             0.02177,            0.011706,                   0,             0.96546,              0.9556,             0.98448,             0.78568,            0.023791,           0.0084817,                   0,            0.002674,            0.002674,            0.002674
                 150,            0.021794,            0.011975,                   0,             0.94065,             0.94818,             0.97928,             0.77981,            0.024701,           0.0088263,                   0,           0.0026245,           0.0026245,           0.0026245
                 151,            0.022253,            0.012103,                   0,             0.97409,             0.96418,             0.98598,             0.77686,            0.024348,           0.0088221,                   0,            0.002575,            0.002575,            0.002575
                 152,            0.021341,            0.011892,                   0,             0.97426,             0.97034,             0.98289,             0.76838,            0.025822,           0.0088196,                   0,           0.0025255,           0.0025255,           0.0025255
                 153,            0.021966,            0.011832,                   0,              0.9661,              0.9743,             0.98702,             0.77745,            0.025153,           0.0092974,                   0,            0.002476,            0.002476,            0.002476
                 154,            0.021059,            0.011398,                   0,             0.96606,             0.97301,             0.98359,             0.77863,            0.025071,           0.0087125,                   0,           0.0024265,           0.0024265,           0.0024265
                 155,            0.021477,            0.011711,                   0,             0.98244,             0.95657,             0.98831,             0.78369,              0.0242,           0.0087436,                   0,            0.002377,            0.002377,            0.002377
                 156,            0.021394,            0.011412,                   0,             0.96519,             0.94792,             0.98494,             0.77827,             0.02433,           0.0088514,                   0,           0.0023275,           0.0023275,           0.0023275
                 157,            0.021484,            0.011526,                   0,             0.94158,             0.96423,             0.98424,             0.79013,            0.024591,            0.008954,                   0,            0.002278,            0.002278,            0.002278
                 158,            0.021908,            0.011924,                   0,             0.96248,             0.93162,             0.98118,             0.77463,            0.024874,           0.0090707,                   0,           0.0022285,           0.0022285,           0.0022285
                 159,            0.021953,            0.011828,                   0,             0.97293,              0.9216,             0.98061,             0.78157,            0.024739,           0.0092961,                   0,            0.002179,            0.002179,            0.002179
                 160,            0.021101,            0.011637,                   0,             0.95686,             0.94796,              0.9782,             0.77622,            0.025546,           0.0096839,                   0,           0.0021295,           0.0021295,           0.0021295
                 161,               0.021,            0.011252,                   0,             0.97356,             0.94434,             0.98253,             0.78748,            0.025365,           0.0092144,                   0,             0.00208,             0.00208,             0.00208
                 162,            0.021007,            0.011487,                   0,             0.97744,             0.94017,             0.98037,              0.7843,            0.024336,           0.0092853,                   0,           0.0020305,           0.0020305,           0.0020305
                 163,            0.020629,            0.011203,                   0,             0.96178,             0.94872,             0.97589,             0.78945,            0.025213,           0.0092096,                   0,            0.001981,            0.001981,            0.001981
                 164,            0.020657,            0.011477,                   0,             0.95307,             0.94872,             0.97458,             0.78486,            0.025608,           0.0092309,                   0,           0.0019315,           0.0019315,           0.0019315
                 165,            0.020567,            0.011503,                   0,             0.96911,             0.95726,             0.98333,             0.77738,            0.024032,           0.0090675,                   0,            0.001882,            0.001882,            0.001882
